keyword,year,market_size_m,cagr_pct,source
gaa nanosheet,2018,320,28.5,IDC
gaa nanosheet,2019,480,28.5,IDC
gaa nanosheet,2020,800,32.1,Statista
gaa nanosheet,2021,1150,31.0,Statista
gaa nanosheet,2022,1600,29.5,IDC
gaa nanosheet,2023,2400,33.2,IDC
gaa nanosheet,2024,3200,30.0,Gartner
gaa nanosheet,2025,4200,28.0,Gartner
euv lithography,2018,2800,18.5,SEMI
euv lithography,2019,3500,20.2,SEMI
euv lithography,2020,6500,22.0,Statista
euv lithography,2021,8200,21.5,Statista
euv lithography,2022,10500,19.8,SEMI
euv lithography,2023,12800,18.5,IDC
euv lithography,2024,15200,17.0,IDC
euv lithography,2025,18000,16.5,Gartner
high-k dielectric,2018,1200,10.5,MarketsandMarkets
high-k dielectric,2019,1400,11.2,MarketsandMarkets
high-k dielectric,2020,2200,12.0,Statista
high-k dielectric,2021,2500,11.5,Statista
high-k dielectric,2022,2800,10.8,IDC
high-k dielectric,2023,3100,10.5,IDC
high-k dielectric,2024,3400,10.0,Gartner
high-k dielectric,2025,3800,9.8,Gartner
hybrid bonding,2018,120,42.0,Yole
hybrid bonding,2019,200,45.5,Yole
hybrid bonding,2020,500,48.0,TechInsights
hybrid bonding,2021,850,46.0,TechInsights
hybrid bonding,2022,1400,44.5,Yole
hybrid bonding,2023,2100,41.0,IDC
hybrid bonding,2024,2800,38.5,IDC
hybrid bonding,2025,3500,35.0,Gartner
backside pdn,2018,15,65.0,SemiAnalysis
backside pdn,2019,30,62.0,SemiAnalysis
backside pdn,2020,100,58.0,Yole
backside pdn,2021,180,55.0,Yole
backside pdn,2022,280,50.0,TechInsights
backside pdn,2023,400,45.0,TechInsights
backside pdn,2024,520,42.0,SemiAnalysis
backside pdn,2025,600,38.0,SemiAnalysis
chiplet,2018,650,35.0,Yole
chiplet,2019,1000,38.0,Yole
chiplet,2020,1800,40.5,IDC
chiplet,2021,2800,42.0,IDC
chiplet,2022,4200,39.5,Gartner
chiplet,2023,5800,36.0,Gartner
chiplet,2024,7200,33.0,IDC
chiplet,2025,8500,30.0,IDC
